Tema,Actor,Nivel de Interés,Nivel de Influencia
Agroecología y sistemas alimentarios sustentables,"Gubernamentales (SADER, locales)",Medio,Alto
Agroecología y sistemas alimentarios sustentables,"Comunidades rurales, ejidos",Alto,Alto
Agroecología y sistemas alimentarios sustentables,"Academia (INIFAP, IPN)",Alto,Medio
Agroecología y sistemas alimentarios sustentables,"Agroindustria, certificadoras",Medio,Alto
Agroecología y sistemas alimentarios sustentables,"FAO, Slow Food",Alto,Medio
Cambio climático y uso del suelo,"SEMARNAT, INECC",Alto,Alto
Cambio climático y uso del suelo,Redes comunitarias,Alto,Medio
Cambio climático y uso del suelo,"Academia (UNAM, CIESAS)",Alto,Medio
Cambio climático y uso del suelo,"Sector inmobiliario, energético",Alto,Alto
Cambio climático y uso del suelo,"PNUD, GIZ, WWF",Alto,Medio
Conservación y manejo comunitario de la biodiversidad,"CONANP, INPI",Medio,Alto
Conservación y manejo comunitario de la biodiversidad,"Comunidades indígenas, ejidos",Alto,Alto
Conservación y manejo comunitario de la biodiversidad,"CONABIO, investigadores",Alto,Medio
Conservación y manejo comunitario de la biodiversidad,"Biocomercio, ecoturismo",Medio,Medio
Conservación y manejo comunitario de la biodiversidad,"TNC, Rainforest Alliance",Alto,Medio
"Evaluación ambiental, restauración y manejo de ecosistemas","SEMARNAT, ASEA",Alto,Alto
"Evaluación ambiental, restauración y manejo de ecosistemas",Brigadas y restauradores locales,Alto,Medio
"Evaluación ambiental, restauración y manejo de ecosistemas","Ecólogos, académicos",Alto,Medio
"Evaluación ambiental, restauración y manejo de ecosistemas","Consultoras, reforestadoras privadas",Medio,Alto
"Evaluación ambiental, restauración y manejo de ecosistemas","IUCN, Reforestamos México",Alto,Medio
Educación ambiental y comunicación,"SEP, gobiernos locales",Medio,Alto
Educación ambiental y comunicación,"Escuelas, colectivos locales",Alto,Medio
Educación ambiental y comunicación,Educadores ambientales,Alto,Medio
Educación ambiental y comunicación,Medios con RSE,Medio,Medio
Educación ambiental y comunicación,"UNESCO, Earth Charter",Alto,Medio
Justicia ambiental y gobernanza participativa,"CNDH, SCJN",Medio,Alto
Justicia ambiental y gobernanza participativa,"Defensores del territorio, OSCs",Alto,Medio
Justicia ambiental y gobernanza participativa,"Antropólogos, juristas ambientales",Alto,Medio
Justicia ambiental y gobernanza participativa,Firmas legales privadas,Medio,Alto
Justicia ambiental y gobernanza participativa,"Global Witness, Amnistía",Alto,Medio
Transición energética y sostenibilidad territorial,"SENER, CFE",Alto,Alto
Transición energética y sostenibilidad territorial,Comunidades afectadas,Alto,Medio
Transición energética y sostenibilidad territorial,Investigadores de energía,Alto,Medio
Transición energética y sostenibilidad territorial,Empresas renovables,Alto,Alto
Transición energética y sostenibilidad territorial,"OXFAM, International Rivers",Alto,Medio
